Chakra,Edades,Condiciones_luz,CGA
A,T0,-,5.688
A,T0,-,5.447
A,T0,-,5.447
A,T0,+,12.568
A,T0,+,11.955
A,T0,+,13.158
A,T1,-,3.618
A,T1,-,3.953
A,T1,-,3.953
A,T1,+,5.055
A,T1,+,5.251
A,T1,+,5.251
A,T2,-,2.475
A,T2,-,2.579
A,T2,-,2.579
A,T2,+,1.803
A,T2,+,1.749
A,T2,+,1.749
B,T0,-,7.333
B,T0,-,7.189
B,T0,-,7.333
B,T0,+,10.113
B,T0,+,10.085
B,T0,+,9.517
B,T1,-,5.361
B,T1,-,5.821
B,T1,-,5.613
B,T1,+,4.531
B,T1,+,4.840
B,T1,+,4.840
B,T2,-,10.191
B,T2,-,10.322
B,T2,-,10.279
B,T2,+,2.62
B,T2,+,2.6
B,T2,+,2.473
C,T0,-,2.443
C,T0,-,2.460
C,T0,-,2.413
C,T0,+,3.593
C,T0,+,3.416
C,T0,+,3.543
C,T1,-,2.763
C,T1,-,2.889
C,T1,-,2.827
C,T1,+,1.949
C,T1,+,1.842
C,T1,+,1.863
C,T2,-,2.017
C,T2,-,2.022
C,T2,-,2.013
C,T2,+,1.391
C,T2,+,1.430
C,T2,+,1.352
